x,y,row,col,spot_id,radius
1003.6719,1043.6211095413266,12,10,12x10,27.5
1103.6719,1043.6211095413266,12,11,12x11,27.5
1203.6719,1043.6211095413266,12,12,12x12,27.5
1303.6719,1043.6211095413266,12,13,12x13,27.5
1403.6719,1043.6211095413266,12,14,12x14,27.5
1603.6719,1043.6211095413266,12,16,12x16,27.5
1803.6719,1043.6211095413266,12,18,12x18,27.5
53.671875,1130.2236499197704,13,0,13x0,27.5
153.67188,1130.2236499197704,13,1,13x1,27.5
253.67188,1130.2236499197704,13,2,13x2,27.5
353.67188,1130.2236499197704,13,3,13x3,27.5
453.67188,1130.2236499197704,13,4,13x4,27.5
553.6719,1130.2236499197704,13,5,13x5,27.5
653.6719,1130.2236499197704,13,6,13x6,27.5
753.6719,1130.2236499197704,13,7,13x7,27.5
853.6719,1130.2236499197704,13,8,13x8,27.5
953.6719,1130.2236499197704,13,9,13x9,27.5
1053.6719,1130.2236499197704,13,10,13x10,27.5
1153.6719,1130.2236499197704,13,11,13x11,27.5
1253.6719,1130.2236499197704,13,12,13x12,27.5
1353.6719,1130.2236499197704,13,13,13x13,27.5
1553.6719,1130.2236499197704,13,15,13x15,27.5
1753.6719,1130.2236499197704,13,17,13x17,27.5
203.67188,1216.8261902982142,14,2,14x2,27.5
303.67188,1216.8261902982142,14,3,14x3,27.5
403.67188,1216.8261902982142,14,4,14x4,27.5
503.67188,1216.8261902982142,14,5,14x5,27.5
603.6719,1216.8261902982142,14,6,14x6,27.5
703.6719,1216.8261902982142,14,7,14x7,27.5
803.6719,1216.8261902982142,14,8,14x8,27.5
903.6719,1216.8261902982142,14,9,14x9,27.5
1003.6719,1216.8261902982142,14,10,14x10,27.5
1103.6719,1216.8261902982142,14,11,14x11,27.5
1203.6719,1216.8261902982142,14,12,14x12,27.5
1303.6719,1216.8261902982142,14,13,14x13,27.5
1503.6719,1216.8261902982142,14,15,14x15,27.5
1603.6719,1216.8261902982142,14,16,14x16,27.5
1703.6719,1216.8261902982142,14,17,14x17,27.5
1803.6719,1216.8261902982142,14,18,14x18,27.5
53.671875,1303.428730676658,15,0,15x0,27.5
153.67188,1303.428730676658,15,1,15x1,27.5
253.67188,1303.428730676658,15,2,15x2,27.5
353.67188,1303.428730676658,15,3,15x3,27.5
453.67188,1303.428730676658,15,4,15x4,27.5
553.6719,1303.428730676658,15,5,15x5,27.5
653.6719,1303.428730676658,15,6,15x6,27.5
753.6719,1303.428730676658,15,7,15x7,27.5
853.6719,1303.428730676658,15,8,15x8,27.5
953.6719,1303.428730676658,15,9,15x9,27.5
1053.6719,1303.428730676658,15,10,15x10,27.5
1153.6719,1303.428730676658,15,11,15x11,27.5
1253.6719,1303.428730676658,15,12,15x12,27.5
1453.6719,1303.428730676658,15,14,15x14,27.5
1553.6719,1303.428730676658,15,15,15x15,27.5
1653.6719,1303.428730676658,15,16,15x16,27.5
103.671875,1390.0312710551018,16,1,16x1,27.5
303.67188,1390.0312710551018,16,3,16x3,27.5
503.67188,1390.0312710551018,16,5,16x5,27.5
603.6719,1390.0312710551018,16,6,16x6,27.5
703.6719,1390.0312710551018,16,7,16x7,27.5
803.6719,1390.0312710551018,16,8,16x8,27.5
903.6719,1390.0312710551018,16,9,16x9,27.5
1003.6719,1390.0312710551018,16,10,16x10,27.5
1103.6719,1390.0312710551018,16,11,16x11,27.5
1203.6719,1390.0312710551018,16,12,16x12,27.5
1303.6719,1390.0312710551018,16,13,16x13,27.5
1503.6719,1390.0312710551018,16,15,16x15,27.5
1603.6719,1390.0312710551018,16,16,16x16,27.5
53.671875,1476.6338114335456,17,0,17x0,27.5
153.67188,1476.6338114335456,17,1,17x1,27.5
253.67188,1476.6338114335456,17,2,17x2,27.5
353.67188,1476.6338114335456,17,3,17x3,27.5
453.67188,1476.6338114335456,17,4,17x4,27.5
553.6719,1476.6338114335456,17,5,17x5,27.5
653.6719,1476.6338114335456,17,6,17x6,27.5
753.6719,1476.6338114335456,17,7,17x7,27.5
853.6719,1476.6338114335456,17,8,17x8,27.5
953.6719,1476.6338114335456,17,9,17x9,27.5
1053.6719,1476.6338114335456,17,10,17x10,27.5
1153.6719,1476.6338114335456,17,11,17x11,27.5
103.671875,1563.2363518119894,18,1,18x1,27.5
303.67188,1563.2363518119894,18,3,18x3,27.5
403.67188,1563.2363518119894,18,4,18x4,27.5
503.67188,1563.2363518119894,18,5,18x5,27.5
603.6719,1563.2363518119894,18,6,18x6,27.5
703.6719,1563.2363518119894,18,7,18x7,27.5
803.6719,1563.2363518119894,18,8,18x8,27.5
903.6719,1563.2363518119894,18,9,18x9,27.5
